text_clean,label
saya udah langganan uang juga udah keluar beberapa kali saya melapor ke pihak getcontat melewati apk dan email tapi sudah berjam jam tidak ada respon yang bisa membuat firtur itu aktif,1
hallo developer getcontact tolong balikin uang langganan karena itu pembelian yang tidak disengaja karena kepencet,1
tidak membantu dikenakan biaya cuma lihat tagar orang,2
sangat membantu untuk no spam,2
di saya force close terus gak mau d buka jg udah d uninstall trus install ulang tetep,1
nyesel instal ini,1
ga jelas ini aplikasi sekarang,1
aplikasi puqi,1
kenapa susah banget untuk login sekarang tolong dong perbaiki sudah berulang kali dan coba menunggu tetep ga bisa,1
saya tidak bisa mendownload nya,1
aplikasi busuk nyoba aja disuruh premium,1
susah buat masuk nya anjjjj muter mulu di verifikasisampe limit di buatkan,1
banyak berbayar nya ga worth it,1
gk bagus krn gk bisa keliatan nama kita di sv apa sama orang,2
mengecewakan tertulis jangan menulis hal menghina mencela dll tapi sembarangan org bisa nulis tag sesuka mereka tanpa bukti upload dokumen atau ss gambar misal memberi tagpenipu,1
mantapp,1
ribetgak kyk dlu uninstall aja,1
apk apa apaan inidikit harus bayardikit iklan ga masuk akal mau cari kontak aja harus ribet harus bayarkatanya gratisgratis dari apanya,1
berbayar gak suka,2
tdk tau pake,1
aplikasi kcntcl padahal udh bayar premium tp tetep ada batas limitnya ada notif sruh buka email tp giliran dibuka gk ada email sma sekali,1
apk gajelas apa harus premium,1
tidak bisa login,1
payah kudu langganan,1
aplikasi getcontact menjadi downgrade mulai dari sering down tidak bisa mengakses nomor telepon orang lain tolong di perbaiki lagi apk nya ya,1
biaya langganan kena pajak  sungguh sangat gila biayanya lucunya lagi ingin melihat pencarian dan identitas nomor yg lain malah dikenakan setting penanda bukan pencarian alhasil penanda saya hilang habis sebelum waktunya kan ini namanya pembodohan dan perampokan su,1
dasar penipu aplikasi bodong nggak cocok di download,0
gtc jgn ngelag mulu pls,1
tidak bisa di buka aplikasi nya kenpa nyk,1
harus bayar,1
najis bgt harus premium dulu pdhl dulu engga skrg apk apa berbayar mana login ribet lagi sumpah najissssss bgttt gilakkkkkkk gua install aja nih apk percuma berguna tp berbayar,1
jangan ini penipuan di suru bayar terus dan langsung di kurass dana kita tanpa pengetauan kita,1
dikit dikit premium anjir kikir amat,1
saldo atm saya kepotong sebesar  di karena getcontact padahal saya tidak malakukan transaksi sama sekali untuk premium di aplikasi ini,1
baguss tapi sekrng cek name nya berbayar ya huhuhu,1
udah premium tapi kok lihat nama orang terbatas padahal belum sebulan klo tau gitu mending gk usah berlangganan,1
sedikit berguna maaf ya,1
apk gak jelas perasaan dlu kagak pake langganan premium apk butut,1
kebanyakan permintaan,1
pliss min sediain metode bisa bayar di indomarettttttga semua punya gopay min,1
ok,1
nyedot saldo dana seenak nya,1
bagus kegunaannya,2
bermanfaat,2
get contact sekarang aneh uda gk seakurat dulu kecewa oi,0
makasi buat aplikasinya,1
sekarang udah bayar,1
mantap,2
sgt susah untuk login saya sudah bersusah payah tau tpi harus saja adalah ini itu,1
saya minta uang saya kembalikan  saya tidak merasakan pembeliansaya hanya membeli di bulan maret dan itu transaksi nya malam sedangkan saya tidur di jam  engga logika amat uang saya tiba tiba di tarik padahal itu pake oin saya minta kembalikan,1
payah verivikasi aja eror mlu,1
ternyata bayar,1
baru sebentar ikut yang premium malah kena limit sudah ditunggu  jam lebih masih ada pemberitahuan limit kalau begini bisa saya uninstal,1
semacam pemerasa sih bentar bayar dan setrsnya,1
login ribet harus punya wa bisnis,1
apk nya udah gak guna apa apa harus premium mau liat tag aja udah gak bisa klau gak premium mending uninstall aja,1
apaaan coba baru instal mau login malah verfikasi nya harap tunggu sebentar gj gj jangan donlowd,1
aplikasi penipuan,1
apaan dahh mau liat hastag aja kudu berlangganan ogah banget buang uang cuma mau tau bentaran doang dikira bakal dibutuhin tiap saat gitu ni apk gakk bangettt yaaaa cuma sekedar kepo sesaat udahnya uninstal lagi ga guna banget ni apk,1
sy sudah membeli paket premium tp knp paket tidak berubah menjadi premium dan masih tidak bisa di buka untuk melihat tag satu saja tidak bisa padahal saldo saya sudah berkurang melebihi harga yang terterabahkan disuruh bayar lagi dan pembayaran sangat sulit tolong bagamaina ini apa yang harus saya lakukan,1
fitur dasar aj bayar dlu ga kek dlu,1
aku kecewa sih kk dulu waktu aku donwload kalau apl baru buka itu gratis liat nama kontak orang di watsap kok sekarang di batasin sih cuma keliatan  nama yg lainnya di buramin,0
bayar muluh kontxlll,1
saya tidak pernah menggunakan aplikasi ini lagi sejak lama tapi saya ditagih dan otomatis saldo saya hilang saya mau tanggung jawabnya,1
ga jelasbusukdlu ga kaya gini deh,1
bolak balik di suruh verifikasi,1
gokil,1
lama baget harus nunggu dulu pas daftar,1
ga bisa di buka kak,1
karna sia katanya bisa melihat contak yang sisimpan orang lain sudah saya periksa tapi nunggu hampil berapa jam coba,1
apk kikir,1
di update malah makin jelek,0
so far so good jadi ngerti siapapun penelpon kita,1
sengaja kasi bintang  supaya dilihat jangan di download nggak bisa login ribet pokoknya,1
aplikasi aneh ga membantu ga sesuai di iklan,2
bagus banget,2
sekarang harus upgrade ke pro sama sekali gak ngebantu padahal buat anti spam atau penipuan walaupun dulu hanya dapat menggunakan  perhari,1
apk gak guna,1
berlangganan premium bermasalah tombol tidak berfungsi saat di sentuh,1
bagus banget apk ini bisa mengakses semua chat yang di sembunyikan,2
cacad masa nyari nama org ga keliatan namanya siapa pdhl nomor lama nama yg dikasi ga update kalo ada yg udh ngesave belum lama maksa jd member tp kualitas payah,1
medit,1
aplikasi ini sangat bagusaku menyukainya,1
semoga bagus,2
sederhana gua di doxxing,1
apk aneh baru download masuk anda terlalu banyak mengirimkan ferepikasi padahal baru  kali setelah selesai download apk aneh,1
mantap mas bro,2
pada awalnya apk ini membantu saya dalam mnegecek nomor yang tidak dikenali jadi kami bisa waspada kalau nomor yang tidak dikenali itu meragukan atau punya indikasi jahat ke kita tetapi sayang harusnya apk ini bisa membantu semua orang malah harus dikenakan biaya lagi untuk melihat tag nomor yang tidak dikenali sama saja bukan membantu tetapi ini bisnis dan mencari untung tidak semua orang bisa membayar dan tiap bulan harus dipotong kami tidak sering memakainya jdi berat perblan harus byar,2
bahaya,0
aplikasi kikir dulu padahal bisa liat kontak secara gratis ini apa semua kudu bayar,1
plikasi gaje,1
perasaan dlu getcontak g seribet ini ko jdinya mlh ribet bngt yh,1
tidak ada pemberitahuan terlebih dahulu untuk masa perpanjangan tuba saldo terpotong,1
apk ga gunapadahal udah nggak berlangganan tapi tetep aja ada transaksi pembayaran dan setelah di cek di playstore tidak ada di bagian langganan dan mau pengembalian dana nya juga susah mohon untuk developer kalo memang niat cari duit bukan gitu juga caranya,1
lumayan bgus,1
ini kenapa ya getcontact ko di saya gak bisa di buka ya selalu keluar mulu udh di apus trus download ulang tetep aja gak bisa di buka,1
kenapa ga bisa login dah aneh banget,1
terlalu nyuruh premium,1
jelek,0
aku suka aplikasinya puas sekali,2
fitur premium tidak worth it daripada sebelah,1
sangat bagus,2
kirain gk berbayar,1
ini kenapa ya saya baru membeli nomor tapi tag saya udah ada di getcontact dengan nama orang lain padahal itu bukan nama saya dan teman teman saya tidak ada yang save saya seperti itu tolong di perbarui saya nomor nya baru registrasi juga loh masa masih nempel sama orang yang lama mohon banget di perbaiki,1
jualan berkedok membantu,2
sangat bagus suka,2
aplikasi burukkk kenapa tidak bisa di buka setelah suruh memasuk kan nomor kenapa tidak bisa di buka,1
cari yg terbaik amin,1
ok membantu,2
mau lihat tagar seseorang aja harus bayar dulu makin gak rekomen sih,1
ribet nih aplikasi udah verivikasi berulang ulang tetep aj g bisa masuk hadeh,1
ga jelas aplikasi ini,1
aplikasi gajelas,1
dulu mah tampilan tag nya banyak sekarang cuma  harus bayar premium,1
biaya teknologi biaya teknologi apalah ini dulu ga premium juga bisa liat tag nama kontak sekarang cuma liat tag nama kontak doang harus berbayar hadeuh menyusahkan sekali,1
gk asik sekarang berbayar,1
susah login,1
hrs promembeli seperti membersib,1
apk kikir,1
ga guna yeh,1
saya kira getcontact ini bisa membantu pengguna utk menghindari penipuan ternyata gak sepenuhnya membantu juga ada beberapa fitur yg menjadikan gtc ini membantu penipu seperti menghapus dan mengedit tag lalu tag di privasi shg kita tdk bisa melacak kontak penipu,2
males makin terkenal makah makin serba bayar bayar gitu padahal dulu gak gitu tuh,1
membantu,2
apk gila berlanganan nya udh ga bisa di stop in terus saldo ketarik mulu gila yaa tiap bulan loh,1
apk bdoh kalo ada yang call pasti langsung keluar dari apk yang sedang di aplikasikan,1
tidak menarik seperti dulu,1
bagus,2
karna tidak perfesional,1
gk berguna mahal juga fiturnya,1
semenjak aplikasi ini mnjdi prabayar jadi mls pengguna nya dulu waktu ini blum ada fitur premium jadi rame saran saya kasih ke longgaran dalam  bulan agar bisa pengguna melihat tag yang di pagar,1
apa apa harus berbayar,1
makin rame kok makin ngelunjak ni apkmana skrng pke berbayar lagi kaga jelas banget,1
ka sudah bayar yg premium tapi kenapa belum bisa yaa malah masih aja yg gratis,1
apk yg sebenarnya ga terlalu berguna karna ga terlalu valid dengan aslinya masa iya dikontak  orang cuma ada  tag yg sebenarnya lebih dari  tolong diperbaiki dan valid kan dengan yang asli percuma harus premium kalau akhirnya jadi sampah apk ini makin banyak yang pakai semakin ngaco juga lama kelamaan malah jadi apk sampah,1
gratis trs ya,1
benci bgttt verifikasi aja susah,1
udah jelek skrng perubahan nya ga kaya dulu skrng dikit dikit harus premium,0
kebanyakan tagihan,1
sialan,1
udah premium tetep dapet limit katanya bakalan ada notif ke email eh ternyata zonk,1
sangat berfungsi,1
tapi kenapa punya saya sedikit yg nge save,1
g bisa login gjls ni apk,1
g bisa masuk gara verifikasi nya bug,1
min maaf mau tanya ini saya berlangganan saldonya ga masuk payment get contact tapi sudah hangus duluan belum ada beberapa jam tolong bantuannya min,1
info apk yg apik,1
apk gajelss ga guna,1
bisa tau,1
katanya bisa liat nama orang tapi buktinya gak ada lagian ga jelas,1
sgt membantu,2
ini mau masuk aja buat verivikasi kok ngk bisa di suruh nunggu beberapa menit pas udh di tunggu tetap ngk bisa apa aplikasi nya eror yaa,1
bintang lima,1
good,1
bgus,1
gak jelas gak bisa di buka,1
sangat baik,1
harus premium,1
siipp,1
aplikasi gaje,1
aplikasi kikir harus berbayar dulu baru bisa liat,1
nguras bangett gbisa cari info seperti dulu,1
baik,1
baguss buat yg penasaran di save orang,1
getcontact sangat membantu untuk penelepon yg tdk di kenal dgn indikasi yg tdk baik,2
hape kita dihack kalo langganan gak dilanjut,1
kenapa harus bayar katanya gratis,1
makin kesini makin kurang aplikasinya dulu kita bisa melihat siapa aja yang kepo dgn nomor kita tapi sekarang malah gabisa sama sekali lalu untuk ketika kita melihat profil oranglain juga cuma bisa ngeliat  tag nama aja padahal dulu bisa kelihatan semua lho jadi gimana kita bisa tau kalau itu penipu atau ngga ya fitur sekarang menurutku ga terlalu dipakai olehku kecewa banget,0
gak bisa liat tag orang harus premium,1
gak guna lagi dulu bisa liat tag orang sekarang gak bisa lagi,1
gak bisa di matiin premium nya,1
aplikasi ini sangat bagus,2
keren sangat membantu mengidentifikasi nama penelepon terutama nomor yg tidak dikenal penipu,2
nice,1
saldo gw diambil anj sama getcontact,1
apk aneh tiba tiba ga bisa login,1
ava nya ga bisa di ss,1
bnyk bayar,1
jelek bgt njir gw mau liat tag nama orang yg tiba tiba nelpon gw malah di suruh premium ah elah pake bayar segala,0
sangat bermanfaat sekali jadi kita bisa tau tibatiba sering sekali mendapat telp tak dikenal langsung ketahuan ternyata no penipu admin pinjol penipuan pinjol or scam semua jadi tidak jadi kita angkat ini biasa nya ada orangorang terdekat rekan kantor yang berhutang di pinjol sehingga si admin pinjol menelepon semua no kontak si penghutang sangat meresahkan  tidak membuat tidak nyaman kita ditelp orangorang tak jelas,1
uwapik,1
sudah beli dan bayar yg premium tapi di apk nya ga dapat akses premium,1
sudah bayar sudah berlangganan tapi tidak bisa akses fitur buka nomor di getcontact sangat tidak amanah,1
terimakasih telah membantu memberi informasi terkait nomer spam atau penipuan,2
aplikasinya masih aneh banyak nomor nomor yang terblokir masih bisa telpon berkali kali tolong perbaiki karna sangat menggangu nanti kalo ada perbaikan pasti aku kasih bintang  langsung,1
apk nya pelitgratisan buat ngecek nomor orang aja gabisa padahal baru download tapi di paksa bgt buat beli premium dulugk guna bgt,1
aplikasi apa ini kaya gitu doang mbayar cuih,1
sangat membantu dalam menerima setiap panggilan aneh,2
masa gabisa hapus langganan yg premium udh apus akun udh apus aplikasi masih bayar perbulan duit saya keambil terus kocak,1
mantul,1
privasi tidak aman dan nyaman  yg tidak perlu org tau,2
apk gak bisa di buka sangat di sayangkan harus di perbarui kembali min,1
baru aja pakai tapi gak bisaaa di gunakan disuruh bayar aplikasi oon,1
sangat direkomendasikan sekali,1
terima kasih banyak aplikasi ini sangat membantu,2
gak guna dikti bayar,1
gajelas ni apk mau daftar udh bener trus muncul terverifikasi malah ulang lagi terus gimana si,1
kenapa saya tidak bisa ganti nomor telepon saya,1
saya sudah bayar premium tapi di aplikasi belum premium saldo sudah terpotong,1
tambahkan nama nama yang ada di kontak biar mudah mengetahui siapa yang memberi nama kita di situ,1
gak mengerti cara nya ingin melihat nama kita jika di save tapi tidak mengerti dan kalau cari tau cara nya samaa aja ttp tidak mengerti,1
bagus untuk antisipasi hal yg gak perlu,2
kok harus bayar sih pas ituh engga,1
gak pernah download ni aplikasi tapi tiba tiba disuruh bayar premium,1
bagus sekali,2
aplikasi gak jelas  lebih bagus fitur yang dulu dari pada sekarang,2
aplikasi penipuan ngapain mau lihat informasi pribadi saya,1
gk bisa diakses jngn download ini,1
ngga guna,1
melanggar privasi,1
apk makin laku kenapa jadi apa apa bayar terus si udah bagus bagus laku eh malah dikit premium,2
mantap sangat membantu,2
lebih bagus ada yang bayar perhari soalnya saya jarang menggunakan layanan ini,2
sudh langganan masa limit dibatasi jg payah nih makin ksni makin parah,1
lumayan,1
apk ga guna sekarang apa harus premium dan orang yg premium bisa sembunyikan identitas gimana kalau penipu mereka bisa melakukan aksinya dengan lancar dong mana sekarang kl search nomor g muncul tag nya mendingan perbaiki deh,0
engga ada trial premium dulu semalam  hari,1
okk mantaapp,1
membantu melihat penipu ulung,1
getcontact sekarang berbayar kecewa ga bisa liat kontak orang lgi,0
seharusnya kita tahu siapa yang ngasih nama kontak kita ini dan tolong perbaiki jangan ada pembayaran mahal,1
gabangus sekarang buat premium pokok nya jgn download lah nyesel nnt ga guna soalnya,1
sekarang apk nya jelekgabisa dilogin nin ga selancar dulu gaada kode otp nya dan gajelas lama lama bikin emosi,1
aplikasi cengoh rak guno dongo marai darah tinggi ancokkkk,1
tidak bisa melihat tag nomor,1
umm kok pas kucek cuman  ya nama ku yang di save orang tolong ini digimanain,1
bagusssssssss bangetttt,1
bagus tapi harus bayar,2
apaan anjir udah ga langganan tiba saldo kesedot sendiri di riwayat nya pembayaran langganan ke get contact anehh banget padahal ga install ini apk tolong lah anj jangan asal sedot saldo orang kecuali kecuali saya pakai apk ini sedangkan apk nya dah ga dipakeee,1
ngga bisa masuk apk apa macam apa ini buruk sekali,0
dulu kalau liat tag gratis sekarang malah harus premium jadi susah,1
udah ga bsa cek no hp harus bayar,1
tolong refund uang saya karna tidak sengaja berlangganan,1
tag saya tidak muncul padahal pengguna lama hapus aplikasi karena ganti hp setelah di instal ulang tag saya hilang semua,1
tambah lama tambah parah  semuaharus bayar aplikasi g guna,1
sdh bayar di telkomsel tdk dikenali subscription nya resek penipu,0
udah males,1
jadi premium gini,1
apk ini tidak berguna saya udh premium x tpi ttp ga bisa digunakan,1
bgus sih cmn sekarang berbayar gk sperti dulu,1
gila nge cek aja bayar,1
bagus dan sy bisa gunakan ini dengan baik,2
gk bisa kebuka,1
aplikasi macam apa ini semuanya berbayar,1
aplikasi ini harus dicurigai masa waktu daftar kita harus kasih ijin hapus tambah edit data google drive kita hati hati aja sama ini aplikasi,1
udah beli premium kok masih memcapai limit penggunaan maksimum,1
verifikasi rumit,1
kok malah ga bisa verifikasi sih sudah berkalikali coba,1
cukup membantu detail dan sangat jelas,2
lah sekarang prem pdhl dulu ngga loh hapus dong fitur premnya,1
dasar apk gk jelas benar bikin emosi prifikasinya ribet banget di ulang jg tetap sm intinya bagi aku apk ini gk bagus gk tau shi bagi yg udah biasa pake gencontac tapi bagi aku sangat tdk puas ini aja aku ngasi bintang karna terpaksa dunia akhirat soalnya gk bisa kekirim kalau gk di kasi bintang,2
muncul kan semua,1
saya fikir beneran gratis ternyata kalau mau liat tag harus bayar mending iklan nya jangan di bilang gratis deh kak,1
jelek jangan di download nanti ke riset,0
makin lama makin tai nih apps tamak nak duit je kata apps biar tahu scammer ke apa tapi kena bayar dulu x masuk akal siak duit kena ambik scammer lepastu nk tgk nobirg tu scammer ke x kena bayar lagi kena ambik lagi duit cam bodoh,1
aplikasinya sangat bagus,2
bulan lalu saya premium hrusnya cuma an tp bulan kmren saldo saya kepotong  lebih akhirnya saya batalkan buat bulan ini di play store bagian langganan juga tidak ada getcontact tapi hri ini knpa saldo saya kepotong an tertera keterangan pembayaran getcontact padahal sudah tidak ada langganan,1
cih mesti premium ya lebih sukayang dulu simpelgt cntk sekarang ribet,1
semuanya berbayar sekarang yaaaaaaa download pake data bayar mauu pke apk nya juga harus bayar sekarang,1
jangan di instal harus bayar mahal dan dapatkan bintang  pun ga pantas saya ingatkan lagi jangan di instal berbayar untuk berbulan bulan hanya untuk melihat tag orang terdekat kita jangan di instal,1
tag udah gak otomatis jadi udah gak relevan lagi  bye bye,1
mantap,2
bagus banget biaya berlangganan juga murah,2
gak jelas app nya,1
lebih mudah dalam mengenali nomor yg tidak dikenal,1
terbaik,1
aplikasi perusak telpon gua jadi gak bisa hapus aja,1
get emang peninjau nmr kontak penipuanspam tank getcotact,1
keren sekali terimakasih,2
beda banget sama yg dulu sekarang apa apa bayar,1
melihat tag orang lain harus berbayar dulu krg leluasa,1
jelek lambat,0
terimakasih defelover gatecontac dengan adanya apk ini sangat membantu sekali untuk mengetahui nomernomer televon yg tidak kita ketahui  nomernomer televon dari para penipu yg tidak bertanggung jawab,1
saya sudah stop gk pake aplikasi ini kenapa masih di tagih malah uangku di ambil,1
dari sekian banyak yg tagsave aku kok cuma tiga ya yg muncul trus aku liat hp teman ku gak ada yg kayak dia sv,1
anjirt lah di suruh langganan,1
ini penipuan yaa masa langganan nya ga bisa di berhenti in wah parah sihh harus di laporin ini,1
oke,2
bagus utk mengantisipasi penipuan,2
aplikasinya sih udh bagus tpi tolong ditingkatin lagi semisal kaya tag yang dihapus oleh no tersebut bisa kita lihat karna bisa jadi itu no penipupenjahat yang menyembunyikan identitasnya agar tidak diketahui seseorang yang melihat nonya di gc,2
ngga bisa liat nama orang,1
jelek,0
makin ke sini makin lama bayar gk kyk dlu jadi malas dowlod lggw hapuskan aplikasi kyk ginidulu masih enak free untuk ngecek siapa aja yg nyimpen nomor kita skrng dah bayar makin malesss sama ni aplikasi tolong dong di buat free,1
kurang bagus,2
aplikasi nya ga asik saya jadi tau pacar saya punya cowo selain saya kan jadi nya sakit,1
bagusss,1
aplikasi babi,1
kok saya ga bisa melihat tagar saya sendiri apa lah ini aplikasi ga jelas padahal dah premium,1
sombong harus premium,1
yang bener aja masa baru beberapa hari langganan udah ga bisa lagi malah limited terus,1
apk ga jelas,1
aplikasi scam gj,1
kirain gratis rupanya bayar ya,1
seneng banget krna dapat mengetahui siapa saja yang sv saya,1
penipu,0
ini kenapa yaaa mau premium tapi pembayaran nya ditolak semua mau pake metode apapun itu padahal saldo ada,1
jelek bgt batasan non premiumnya dikit bgt,0
gajelas bgt ni apk,1
gak bisa nambah tag padahal sudah masuk premium dan berlangganan  terus limit pengguna itu maksudnya gimana  seharusnya kalau memang ada limit pengguna setelah sebulan di perpanjang harus nya limit mulai dari awal lagi dong  bukannya nambah limit pencarian  tag  atau ringkasan profil nya yg sudah ada sebelum nya  udah berbayar  mau tambah tag gak bisa  jgn mencari keuntungan buat sepihak ajalah bgtu,1
semuanya aja premium,1
old bagus sekarang jadi ampas,2
kenapa harus premium duluu baru bisa liatt,1
aplikasi paling kikir,1
masa sekarang udah berbayar sihpdhl dlu tu gratismana mahal lgiminimal kasih lah  biar kliatan nama tag nya,1
kalau byar aku susah,1
bebayar gini bayar apalah,1
apaan apk ga jelas kya gini kok msih terkenal masa dibuat buka apk nya aja ga bisa pdhl udah ganti nomer sma akun nya aneh banget anying,1
bagus dan lumayan berguna,2
please increase the daily search limit to  not just   searches per day is useless it feels like youre not giving us a free version just a demo remember why getcontact got popular in the first place because it was generous back then if you want more users and good ratings again make the free limit reasonable like day premium users will still upgrade for unlimited access  other features but day just makes people uninstall the app dont be so greedy with the features list,1
bad customer service have report but no handle from get contact,1
ribet harus bayar,1
aplikasi sampah dana gw kesedot padahal dh gw hapus ni apk ny,1
makin kesini makin ga enak anjir padahal dulu gratis kalo liat semua sekarang yang bisa malah cuma  tag pas udah premium masih ada limitnya juga kek apalahh gasuka ah uninstall aja gais sengaja ku buat bintang  biar banyak orang yang tau,1
terima kasih get contactbanyak bgt penipu di indoo,0
boti hhh yang buat iklan orang nya boti hhhhhh,1
kicik,1
aplikasinya bagus cuma gabisa liat yang tag kitaberbayar,2
ini bagus,2
siiip,1
terimakasih berkat get contact selamat dari bahaya penipuan is the best,0
luar biasa,1
gabisa liat tag dan bayar pula,1
saya sudah tidak pakai aplikasi ini tetapi langganan menarik dana saya tolong kembalikan dana saya perusahaan gercontak,1
apaan bngt ni aplikasi pelit banget masa harus premium dulu baru bisa lihat nama kontak nya,1
oke,2
gakk semuaa,1
mau liat tag doang juga mlh premium badmood dluan,1
baguss aplikasinya,1
aku dah daftar premium dah bayar juga tapi setelahnya malah dibatasi untuk melihat tag nya kocak sih,1
gak bisa liat lengkap,1
bagus mntp,2
perlu berbagi teknologi meski dalam versi gratis teknologi tidak melulu memikirkan cuan,1
aplikasi yang bagus tapi tenggelam karena developernya kemaruk apa bayar jadi ogah,2
saya download getcontact cuma mau liat no yang saya chat itu penipu bukan malah harus premium dulu,0
ribet,1
make me save,1
data akurat dan respon cepat,1
di coba dulu,1
skrg serba bayar,1
sudah update bayar ke premium tapi tidak ada yang berubah,1
biarkan semua jadi gratis kan dari aplikasi ini kan udh nge hasilkan uang jadi gratis kan semua yang ada di aplikasi,1
aplikasi terlalu besar ukurannya,1
knp hrs bayar idih,1
cukup membantu,2
apk nya berguna sihh bagus saya kasih bintang kina,2
gk sesuai ekspektasi udah lh daftar nya susah nunggu berjam jam kirain bisa ternyata enggak,1
tiap hari masuk tlp gak ke jaring pas di angkat ternyata menawarkan pinjaman un instal ah gak bagus,2
mantap dan sangat membantu,2
kenapa jadi berbayar setelah viral,1
serba bayar,1
kenapa aplikasi udah saya uinstal masih saja berlangganan gimana memperhentikan berlangganan itu,1
tidak suka,2
serbah bayar,1
semoga membantu,2
nga seruaplikasi berbayar sangat jelek aplikasinya,0
applikasi sangat baik untuk mengetahui nomer handphone seseorang,1
tidak dapat login,1
coba ini masalah login gimana verifikasi gagal mulu udah mh bayar login pun ga bisa mending delete aja woi dari play store,1
sangat membantu untuk menghindari penipuan orangorang jahat,2
sudah bisa di gunakan,1
gk jelas,1
dikit dikit bayar,1
sangat membantu ketika bnyak nomornomor yg tidak kita kenal memanggil,2
get contact gak kaya dulu tagar  yang bisa dilihat banyak sekarang cuma dua,1
banyak penipu yg menyalah gunakan cok gr gr premium gey contact,0
apk merugikan jangan pernah download ini ga guna prna langganan  x trs uda aku hpus bbrp bln kmudian sldo hilang sndri eh d tlusuri yg ngambil get contact smua apk ada pin klw mau transaksi appun bsnya ini ga ada izin sama skli sumpah nyeselnya minta ampunn,1
y bgus,1
ya lumayan,1
saya sudah membayar untuk premium  kenapa masih ditagihkan juga dan saldinsayabterpoting dua kali saldo saya masih kurag  lagi ternyata setelah saya check terpotong kali silahkan di check terimakasih sudah mengebalikan saldo yabg  tapi masib satu kali lagi,1
dulu lihat semua tag gratis sekarang ikut bayar,1
tolong kembalikan uang saya langganan perpanjang otomatis tanpa persetujuan pengguna aplikasi buruk tolong kembalikan uang saya,0
